"state_name","district_name","id"
"Rajasthan","Pali",15
"Rajasthan","Sawai Madhopur",7
"Rajasthan","Sikar",9
"Rajasthan","Sirohi",18
"Rajasthan","Tonk",11
"Rajasthan","Udaipur",20
"Sikkim","East District",2
"Sikkim","North District",1
"Sikkim","South District",3
"Sikkim","West District",4
"Tamil Nadu","Chengalpattu",2
"Tamil Nadu","Coimbatore",8
"Tamil Nadu","Dharmapuri",5
"Tamil Nadu","Kanniyakumari",16
"Tamil Nadu","Madras",1
"Tamil Nadu","Madurai",10
"Tamil Nadu","Nilgiri",9
"Tamil Nadu","North Arcot",3
"Tamil Nadu","Periyar",7
"Tamil Nadu","Pudukkottai",13
"Tamil Nadu","Ramanathapuram",14
"Tamil Nadu","Salem",6
"Tamil Nadu","South Arcot",4
"Tamil Nadu","Thanjavur",12
"Tamil Nadu","Tiruchchirappalli",11
"Tamil Nadu","Tirunelveli",15
"Tripura","North Tripura",2
"Tripura","South Tripura",3
"Tripura","West Tripura",1
"Uttar Pradesh","Agra",23
"Uttar Pradesh","Aligarh",21
"Uttar Pradesh","Allahabad",30
"Uttar Pradesh","Almora",7
"Uttar Pradesh","Azamgarh",51
"Uttar Pradesh","Bahraich",42
"Uttar Pradesh","Ballia",53
"Uttar Pradesh","Banda",35
"Uttar Pradesh","Bara Banki",44
"Uttar Pradesh","Bareilly",18
"Uttar Pradesh","Basti",48
"Uttar Pradesh","Bijnor",11
"Uttar Pradesh","Budaun",17
"Uttar Pradesh","Bulandshahr",14
"Uttar Pradesh","Chamoli",2
"Uttar Pradesh","Dehra Dun",4
"Uttar Pradesh","Deoria",50
"Uttar Pradesh","Etah",24
"Uttar Pradesh","Etawah",27
"Uttar Pradesh","Faizabad",45
"Uttar Pradesh","Farrukhabad",26
"Uttar Pradesh","Fatehpur",29
"Uttar Pradesh","Garhwal",5
"Uttar Pradesh","Ghaziabad",13
"Uttar Pradesh","Ghazipur",54
"Uttar Pradesh","Gonda",43
"Uttar Pradesh","Gorakhpur",49
"Uttar Pradesh","Hamirpur",34
"Uttar Pradesh","Hardoi",38
"Uttar Pradesh","Jalaun",31
"Uttar Pradesh","Jaunpur",52
"Uttar Pradesh","Jhansi",32
"Uttar Pradesh","Kanpur",28
"Uttar Pradesh","Kheri",36
"Uttar Pradesh","Lalitpur",33
"Uttar Pradesh","Lucknow",40
"Uttar Pradesh","Mainpuri",25
"Uttar Pradesh","Mathura",22
"Uttar Pradesh","Meerut",12
"Uttar Pradesh","Mirzapur",56
"Uttar Pradesh","Moradabad",15
"Uttar Pradesh","Muzaffarnagar",10
"Uttar Pradesh","Nainital",8
"Uttar Pradesh","Pilibhit",19
"Uttar Pradesh","Pithoragarh",6
"Uttar Pradesh","Pratapgarh",47
"Uttar Pradesh","Rae Bareli",41
"Uttar Pradesh","Rampur",16
"Uttar Pradesh","Saharanpur",9
"Uttar Pradesh","Shahjahanpur",20
"Uttar Pradesh","Sitapur",37
"Uttar Pradesh","Sultanpur",46
"Uttar Pradesh","Tehri Garhwal",3
"Uttar Pradesh","Unnao",39
"Uttar Pradesh","Uttarkashi",1
"Uttar Pradesh","Varanasi",55
"West Bengal","Bankura",13
"West Bengal","Barddhaman",15
"West Bengal","Birbhum",16
"West Bengal","Calcutta",9
"West Bengal","Darjiling",3
"West Bengal","Haora",10
"West Bengal","Hugli",11
"West Bengal","Jalpaiguri",2
"West Bengal","Koch Bihar",1
"West Bengal","Maldah",5
"West Bengal","Medinipur",12
"West Bengal","Murshidabad",6
"West Bengal","Nadia",7
"West Bengal","Puruliya",14
"West Bengal","Twenty Four Parganas",8
"West Bengal","West Dinajpur",4
NA,NA,10
